startphrase,ending,startphrase_lem,ending_lem,labels,qid,xid,simile,negation,intensification,negation all,not all
That turkey has the texture of a butter,The turkey is easy to chew and eat.,That turkey have the texture of a butter ,The turkey be easy to chew and eat . ,1,X1290,X1290_1,the-of,0,0,aff,FALSE
The street has the friendliness of a rabid squirrel.,The street is very unfriendly.,The street have the friendliness of a rabid squirrel . ,The street be very unfriendly . ,0,X1291,X1291_0,the-of,0,0,aff,FALSE
The street has the friendliness of Mister Rogers.,The street is very friendly.,The street have the friendliness of Mister Rogers . ,The street be very friendly . ,1,X1291,X1291_1,the-of,0,0,aff,FALSE
The baby has the balance of a trapeze artist.,The baby is very balanced.,The baby have the balance of a trapeze artist . ,The baby be very balanced . ,0,X1292,X1292_0,the-of,0,0,aff,FALSE
The baby has the balance of a drunk.,The baby is very unbalanced.,The baby have the balance of a drunk . ,The baby be very unbalanced . ,1,X1292,X1292_1,the-of,0,0,aff,FALSE
My teeth have the integrity of carbon steel.,My teeth are very strong.,My teeth have the integrity of carbon steel . ,My teeth be very strong . ,0,X1293,X1293_0,the-of,0,0,aff,FALSE
My teeth have the integrity of used car dealer.,My teeth lack integrity.,My teeth have the integrity of used car dealer . ,My teeth lack integrity . ,1,X1293,X1293_1,the-of,0,0,aff,FALSE
The music was as soothing as A warm hug.,The music was greatly soothing.,The music be as soothing as A warm hug . ,The music be greatly soothe . ,0,X1294,X1294_0,as-as,0,as as,aff,FALSE
The music was as soothing as A air raid siren.,The music was loud and disturbing.,The music be as soothing as A air raid siren . ,The music be loud and disturb . ,1,X1294,X1294_1,as-as,as as,0,aff,FALSE
The book was as interesting as A solid white room.,The book is bland and boring.,The book be as interesting as A solid white room . ,The book be bland and boring . ,0,X1295,X1295_0,as-as,as as,0,aff,FALSE
The book was as interesting as A newly found treasure chest.,The book is interesting.,The book be as interesting as A newly find treasure chest . ,The book be interesting . ,1,X1295,X1295_1,as-as,0,as as,aff,FALSE
The shirt was as pretty as A plain blue tarp.,The shirt was not pretty at all.,The shirt be as pretty as A plain blue tarp . ,The shirt be not pretty at all . ,0,X1296,X1296_0,as-as,not,0,neg,TRUE
The shirt was as pretty as A field of blooming tulips.,The shirt was beautiful.,The shirt be as pretty as A field of bloom tulip . ,The shirt be beautiful . ,1,X1296,X1296_1,as-as,0,not,aff,FALSE
This trip has been Worst than my dentist appointment,This trip has been terrible,This trip have be Worst than my dentist appointment ,This trip have be terrible ,0,X1297,X1297_0,,0,0,aff,FALSE
This trip has been Like snow on christmas,The trip has been amazing,This trip have be Like snow on christmas ,The trip have be amaze ,1,X1297,X1297_1,like,0,0,aff,FALSE
The display was as clear as crystal,The display was clear,The display be as clear as crystal ,The display be clear ,0,X1298,X1298_0,as-as,0,as as,aff,FALSE
The display was as clear as shattered crystal,The display was distorted,The display be as clear as shattered crystal ,The display be distort ,1,X1298,X1298_1,as-as,as as,0,aff,FALSE
The pie was as sweet as sugar,The pie was sweet,The pie be as sweet as sugar ,The pie be sweet ,0,X1299,X1299_0,as-as,0,not,aff,FALSE
The pie was as sweet as vinegar,The pie was not sweet,The pie be as sweet as vinegar ,The pie be not sweet ,1,X1299,X1299_1,as-as,not,0,neg,TRUE
I'm as threatening as a monster,I'm threatening,I be as threatening as a monster ,I be threaten ,0,X1300,X1300_0,as-as,0,0,aff,FALSE
I'm as threatening as a milkman,I'm nonthreatening,I be as threatening as a milkman ,I be nonthreatening ,1,X1300,X1300_1,as-as,0,0,aff,FALSE
The display was as clear as a cataract,The display was not clear,The display be as clear as a cataract ,The display be not clear ,0,X1301,X1301_0,as-as,not,0,neg,TRUE
The display was as clear as crystal,The display was clear,The display be as clear as crystal ,The display be clear ,1,X1301,X1301_1,as-as,0,not,aff,FALSE
The tub finish looked like a bad case of acne,The tub finish looked  bad,The tub finish look like a bad case of acne ,The tub finish look bad ,0,X1302,X1302_0,like,0,0,aff,FALSE
The tub finish looked like polished glass,The tub finish looked nice,The tub finish look like polished glass ,The tub finish look nice ,1,X1302,X1302_1,like,0,0,aff,FALSE
The illusion was as good as a 12-pixel GIF,The illusion was bad,The illusion be as good as a 12 pixel GIF ,The illusion be bad ,0,X1303,X1303_0,as-as,as as,0,aff,FALSE
The illusion was as good as a UHD TV,The illusion was good,The illusion be as good as a UHD TV ,The illusion be good ,1,X1303,X1303_1,as-as,0,as as,aff,FALSE
The display had all the detail of The Birth of Venus,The display had a lot of detail,The display have all the detail of The Birth of Venus ,The display have a lot of detail ,0,X1304,X1304_0,the-of,0,not,aff,FALSE
The display had all the detail of a child's crayon drawing,The display was not detailed,The display have all the detail of a child crayon draw ,The display be not detailed ,1,X1304,X1304_1,the-of,not,0,neg,TRUE
The computer was as high-tech as Laserdisc in 1978,The computer was high-tech,The computer be as high tech as Laserdisc in 1978 ,The computer be high tech ,0,X1305,X1305_0,as-as,0,as as,aff,FALSE
The computer was as high-tech as Laserdisc in 1998,The computer was outdated,The computer be as high tech as Laserdisc in 1998 ,The computer be outdated ,1,X1305,X1305_1,as-as,as as,0,aff,FALSE
The new video game is as fun  as going to Disney World,The new video game is so much fun.,The new video game be as fun as go to Disney World ,The new video game be so much fun . ,0,X1306,X1306_0,as-as,0,0,aff,FALSE
The new video game is as fun  as digging ditches in the hot sun,The new video game is highly worth avoiding.,The new video game be as fun as dig ditch in the hot sun ,The new video game be highly worth avoid . ,1,X1306,X1306_1,as-as,0,0,aff,FALSE
The television show is as interesting as a cucumber,The television show is boring.,The television show be as interesting as a cucumber ,The television show be boring . ,0,X1307,X1307_0,as-as,0,0,aff,FALSE
The television show is as interesting as a lost treasure,The television show is exciting.,The television show be as interesting as a lost treasure ,The television show be excite . ,1,X1307,X1307_1,as-as,0,0,aff,FALSE
The new iPad is as good as a stick,The new iPad stinks.,The new iPad be as good as a stick ,The new iPad stink . ,0,X1308,X1308_0,as-as,0,0,aff,FALSE
The new iPad is as good as gold,The new iPad is worth every penny.,The new iPad be as good as gold ,The new iPad be worth every penny . ,1,X1308,X1308_1,as-as,0,0,aff,FALSE
Her head has the capacity of a thimble,she is not capable of much intelligence,Her head have the capacity of a thimble ,she be not capable of much intelligence ,0,X1309,X1309_0,the-of,not,0,neg,TRUE
Her head has the capacity of a universe,"she is capable of deep, critical thinking",Her head have the capacity of a universe ,she be capable of deep critical thinking ,1,X1309,X1309_1,the-of,0,not,aff,FALSE
The jacket has the appeal of a swarm of bees,The jacket is unappealing.,The jacket have the appeal of a swarm of bee ,The jacket be unappealing . ,0,X1310,X1310_0,the-of,0,0,aff,FALSE
The jacket has the appeal of a cozy winter's night,The jacket is very appealing.,The jacket have the appeal of a cozy winter night ,The jacket be very appealing . ,1,X1310,X1310_1,the-of,0,0,aff,FALSE
The computer is as fast as a sick snail,The computer is slow.,The computer be as fast as a sick snail ,The computer be slow . ,0,X1311,X1311_0,as-as,as as,0,aff,FALSE
The computer is as fast as a hungry cheetah,The computer is fast.,The computer be as fast as a hungry cheetah ,The computer be fast . ,1,X1311,X1311_1,as-as,0,as as,aff,FALSE
His head was as smooth as a pebble,His head was smooth,His head be as smooth as a pebble ,His head be smooth ,0,X1312,X1312_0,as-as,0,as as,aff,FALSE
His head was as smooth as porridge,His head was lumpy,His head be as smooth as porridge ,His head be lumpy ,1,X1312,X1312_1,as-as,as as,0,aff,FALSE
The painting was as permanent as the wind,The painting was temporary,The painting be as permanent as the wind ,The painting be temporary ,0,X1313,X1313_0,as-as,0,0,aff,FALSE
The painting was as permanent as granite,The painting was long lasting,The painting be as permanent as granite ,The painting be long lasting ,1,X1313,X1313_1,as-as,0,0,aff,FALSE
She had the grace of a ballerina,She was graceful,She have the grace of a ballerina ,She be graceful ,0,X1314,X1314_0,the-of,0,0,aff,FALSE
She had the grace of a toad,She was clumsy,She have the grace of a toad ,She be clumsy ,1,X1314,X1314_1,the-of,0,0,aff,FALSE
The hair color was as permanent as a passing thought,The hair color was not permanent,The hair color be as permanent as a passing thought ,The hair color be not permanent ,0,X1315,X1315_0,as-as,not,0,neg,TRUE
The hair color was as permanent as a marble monument,The hair color was permanent,The hair color be as permanent as a marble monument ,The hair color be permanent ,1,X1315,X1315_1,as-as,0,not,aff,FALSE
The rules were as complicated as one plus one is two,The rules were not complicated,The rule be as complicate as one plus one be two ,The rule be not complicate ,0,X1316,X1316_0,as-as,not,0,neg,TRUE
The rules were as complicated as a Rubik cube,The rules were complicated,The rule be as complicate as a Rubik cube ,The rule be complicate ,1,X1316,X1316_1,as-as,0,not,aff,FALSE
Her head was as big as a beach ball,Her head was big,Her head be as big as a beach ball ,Her head be big ,0,X1317,X1317_0,as-as,0,not,aff,FALSE
Her head was as big as a hamster's,Her head was not big,Her head be as big as a hamster ,Her head be not big ,1,X1317,X1317_1,as-as,not,0,neg,TRUE
Her boyfriend was a romantic as a John Keats poem.,Her boyfriend was sincere and romantic.,Her boyfriend be a romantic as a John Keats poem . ,Her boyfriend be sincere and romantic . ,0,X1318,X1318_0,as,0,not,aff,FALSE
Her boyfriend was a romantic as Schopenhauer.,Her boyfriend was cynical and not romantic.,Her boyfriend be a romantic as Schopenhauer . ,Her boyfriend be cynical and not romantic . ,1,X1318,X1318_1,as,not,0,neg,TRUE
The coach's behavior was as stable as Francium.,The coach's behavior was unsteady.,The coach behavior be as stable as Francium . ,The coach behavior be unsteady . ,0,X1319,X1319_0,as-as,as as,0,aff,FALSE
The coach's behavior was as stable as a noble gas.,The coach's behavior was steady and stable.,The coach behavior be as stable as a noble gas . ,The coach behavior be steady and stable . ,1,X1319,X1319_1,as-as,0,as as,aff,FALSE
His approach to the group was as gracious as the Dali Lama.,His approach was open-hearted and full of grace.,His approach to the group be as gracious as the Dali Lama . ,His approach be open hearted and full of grace . ,0,X1320,X1320_0,as-as,0,0,aff,FALSE
His approach to the group was as gracious as a religious cult leader.,His approach was closed off and legalistic.,His approach to the group be as gracious as a religious cult leader . ,His approach be close off and legalistic . ,1,X1320,X1320_1,as-as,0,0,aff,FALSE
The color of her future son's hair was a certain as The color of her husband's hair,She was fairly sure she knew what color her son's hair would be,The color of her future son hair be a certain as The color of her husband hair ,She be fairly sure she know what color her son hair would be ,0,X1321,X1321_0,the-of,0,0,aff,FALSE
The color of her future son's hair was a certain as The color of the man's hair she had yet to meet to have the kid with,She had no clue what color the son's hair would be,The color of her future son hair be a certain as The color of the man hair she have yet to meet to have the kid with ,She have no clue what color the son hair would be ,1,X1321,X1321_1,the-of,0,0,aff,FALSE
The marker stain on her shirt was as permanent as The tattoo on her ankle,The mark was permanent,The marker stain on her shirt be as permanent as The tattoo on her ankle ,The mark be permanent ,0,X1322,X1322_0,as-as,0,as as,aff,FALSE
The marker stain on her shirt was as permanent as The scuff mark on her car door,The mark could be wiped off,The marker stain on her shirt be as permanent as The scuff mark on her car door ,The mark could be wipe off ,1,X1322,X1322_1,as-as,as as,0,aff,FALSE
The man bet as much on the game as He paid for his mortgage,The man was a heavy better,The man bet as much on the game as He pay for his mortgage ,The man be a heavy better ,0,X1323,X1323_0,as-as,0,0,aff,FALSE
The man bet as much on the game as He paid for his morning cup of coffee,The man only dabbled in betting,The man bet as much on the game as He pay for his morning cup of coffee ,The man only dabble in bet ,1,X1323,X1323_1,as-as,0,0,aff,FALSE
This place is as permanent as the Earth itself,This place will last forever,This place be as permanent as the Earth itself ,This place will last forever ,0,X1324,X1324_0,as-as,0,not,aff,FALSE
This place is as permanent as a sand castle,This place will not last long,This place be as permanent as a sand castle ,This place will not last long ,1,X1324,X1324_1,as-as,not,0,neg,TRUE
My head's as handsome as a Renaissance painting,My head's handsome,My head as handsome as a Renaissance painting ,My head handsome ,0,X1325,X1325_0,as-as,0,as as,aff,FALSE
My head's as handsome as a monster mask,My head's ugly,My head as handsome as a monster mask ,My head ugly ,1,X1325,X1325_1,as-as,as as,0,aff,FALSE
That runner is a cheetah,That runner is fast,That runner be a cheetah ,That runner be fast ,0,X1326,X1326_0,,0,0,aff,FALSE
That runner is a tortoise,That runner is slow,That runner be a tortoise ,That runner be slow ,1,X1326,X1326_1,,0,0,aff,FALSE
That sweater is a puppy dog,That sweater is soft and cuddly.,That sweater be a puppy dog ,That sweater be soft and cuddly . ,0,X1327,X1327_0,,0,0,aff,FALSE
That sweater is a haystack,That sweater is rough and itchy.,That sweater be a haystack ,That sweater be rough and itchy . ,1,X1327,X1327_1,,0,0,aff,FALSE
the dinner was as tasty as mush,the dinner was tasteless,the dinner be as tasty as mush ,the dinner be tasteless ,0,X1328,X1328_0,as-as,0,0,aff,FALSE
the dinner was as tasty as mama's home cooking,the dinner was delicious,the dinner be as tasty as mama home cooking ,the dinner be delicious ,1,X1328,X1328_1,as-as,0,0,aff,FALSE
the babysitter was as mature as her charge,the sitter was not competent,the babysitter be as mature as her charge ,the sitter be not competent ,0,X1329,X1329_0,as-as,not,0,neg,TRUE
the babysitter was as mature as Mary Poppins,the sitter was competent,the babysitter be as mature as Mary Poppins ,the sitter be competent ,1,X1329,X1329_1,as-as,0,not,aff,FALSE
the tv star was as personable as a cardboard cutout,the tv star had no personality,the tv star be as personable as a cardboard cutout ,the tv star have no personality ,0,X1330,X1330_0,as-as,0,0,aff,FALSE
the tv star was as personable as a long lost friend,the tv star was charming,the tv star be as personable as a long lost friend ,the tv star be charm ,1,X1330,X1330_1,as-as,0,0,aff,FALSE
She's a kid's game.,She's manipulatable.,She a kid game . ,She manipulatable . ,0,X1331,X1331_0,,0,0,aff,FALSE
She's a round of Jeopardy.,She's unmanipulable.,She a round of Jeopardy . ,She unmanipulable . ,1,X1331,X1331_1,,0,0,aff,FALSE
He is a pile of smashed pottery.,He's weak.,He be a pile of smashed pottery . ,He weak . ,0,X1332,X1332_0,,0,0,aff,FALSE
He is a pile of bricks.,He's strong.,He be a pile of brick . ,He strong . ,1,X1332,X1332_1,,0,0,aff,FALSE
The mansion is a rotting whale.,The mansion is dilapidated.,The mansion be a rot whale . ,The mansion be dilapidate . ,0,X1333,X1333_0,,0,0,aff,FALSE
The mansion is a lion's den.,The mansion is well-maintained.,The mansion be a lion den . ,The mansion be well maintain . ,1,X1333,X1333_1,,0,0,aff,FALSE
The door was closed as tight as a drumhead,The door was closed tighly,The door be close as tight as a drumhead ,The door be close tighly ,0,X1334,X1334_0,as-as,0,not,aff,FALSE
The door was closed as tight as a refrigerator without a door,The door was not closed tightly,The door be close as tight as a refrigerator without a door ,The door be not close tightly ,1,X1334,X1334_1,as-as,not,0,neg,TRUE
The plot had the structure of demolished building,The plot had no structure,The plot have the structure of demolished building ,The plot have no structure ,0,X1335,X1335_0,the-of,0,0,aff,FALSE
The plot had the structure of a Manolo Blahnik dress pump,The plot had great structure,The plot have the structure of a Manolo Blahnik dress pump ,The plot have great structure ,1,X1335,X1335_1,the-of,0,0,aff,FALSE
He had the morality of a pickpocket,He had no morality,He have the morality of a pickpocket ,He have no morality ,0,X1336,X1336_0,the-of,0,0,aff,FALSE
He had the morality of the Bishop of Canterbury,He had strict morality,He have the morality of the Bishop of Canterbury ,He have strict morality ,1,X1336,X1336_1,the-of,0,0,aff,FALSE
The log was a humpback whale,the log was large,The log be a humpback whale ,the log be large ,0,X1337,X1337_0,,0,0,aff,FALSE
The log was a betta fish,the log was small,The log be a betta fish ,the log be small ,1,X1337,X1337_1,,0,0,aff,FALSE
The nachos were a Fort Knox,the nachos were big and full,The nacho be a Fort Knox ,the nacho be big and full ,0,X1338,X1338_0,,0,0,aff,FALSE
The nachos were an empty shack,the nachos were small and measly,The nacho be an empty shack ,the nacho be small and measly ,1,X1338,X1338_1,,0,0,aff,FALSE
The star had the largeness of a galaxy,the star was big,The star have the largeness of a galaxy ,the star be big ,0,X1339,X1339_0,the-of,0,0,aff,FALSE
The star had the largeness of a pebble,the star was small,The star have the largeness of a pebble ,the star be small ,1,X1339,X1339_1,the-of,0,0,aff,FALSE
He was smart like a teacher.,He was very smart.,He be smart like a teacher . ,He be very smart . ,0,X1340,X1340_0,like,0,not,aff,FALSE
He was smart like a dropout.,He wasn't very smart at all.,He be smart like a dropout . ,He be not very smart at all . ,1,X1340,X1340_1,like,not,0,neg,TRUE
He was as honest as a lawyer.,He wasn't very honest.,He be as honest as a lawyer . ,He be not very honest . ,0,X1341,X1341_0,as-as,not,0,neg,TRUE
He was as honest as a preacher.,He was very honest.,He be as honest as a preacher . ,He be very honest . ,1,X1341,X1341_1,as-as,0,not,aff,FALSE
Her eyes were as dark as black olives,her eyes were deep and black,Her eye be as dark as black olive ,her eye be deep and black ,0,X1342,X1342_0,as-as,0,0,aff,FALSE
Her eyes were as dark as a midday sky,her eyes were light,Her eye be as dark as a midday sky ,her eye be light ,1,X1342,X1342_1,as-as,0,0,aff,FALSE
The dog was as shaggy as Howard Stern's hair,The dog was hairy and unkempt,The dog be as shaggy as Howard Stern hair ,The dog be hairy and unkempt ,0,X1343,X1343_0,as-as,0,0,aff,FALSE
The dog was as shaggy as a buzz cut,the dog was trimmed and neat,The dog be as shaggy as a buzz cut ,the dog be trim and neat ,1,X1343,X1343_1,as-as,0,0,aff,FALSE
His nails were as sharp as needles,his nails are sharp and pointed,His nail be as sharp as needle ,his nail be sharp and point ,0,X1344,X1344_0,as-as,0,as as,aff,FALSE
His nails were as sharp as a spoon,his nails are smooth and rounded,His nail be as sharp as a spoon ,his nail be smooth and round ,1,X1344,X1344_1,as-as,as as,0,aff,FALSE
He has the morals of a saint,He has strong morals,He have the moral of a saint ,He have strong moral ,0,X1345,X1345_0,the-of,0,0,aff,FALSE
He has the morals of a devil,He has no morals,He have the moral of a devil ,He have no moral ,1,X1345,X1345_1,the-of,0,0,aff,FALSE
The structure was as sturdy as a house of cards,The structure was flimsy,The structure be as sturdy as a house of card ,The structure be flimsy ,0,X1346,X1346_0,as-as,0,0,aff,FALSE
The structure was as sturdy as a mountain,The structure was solid,The structure be as sturdy as a mountain ,The structure be solid ,1,X1346,X1346_1,as-as,0,0,aff,FALSE
He runs at the pace of A cheetah,He is a very fast runner,He run at the pace of A cheetah ,He be a very fast runner ,0,X1347,X1347_0,the-of,0,0,aff,FALSE
He runs at the pace of A snail,He runs very slowly,He run at the pace of A snail ,He run very slowly ,1,X1347,X1347_1,the-of,0,0,aff,FALSE
Our relationship is as tight as a wetsuit,Our relationship is solid,Our relationship be as tight as a wetsuit ,Our relationship be solid ,0,X1348,X1348_0,as-as,0,0,aff,FALSE
Our relationship is as tight as a drug dealers morals,Our relationship is questionable,Our relationship be as tight as a drug dealer moral ,Our relationship be questionable ,1,X1348,X1348_1,as-as,0,0,aff,FALSE
We stopped at the light as gracefully as a lame turkey,We stopped roughly,We stop at the light as gracefully as a lame turkey ,We stop roughly ,0,X1349,X1349_0,as-as,0,0,aff,FALSE
We stopped at the light as gracefully as O.J.s lawyer,We stopped smoothly,We stop at the light as gracefully as O.J.s lawyer ,We stop smoothly ,1,X1349,X1349_1,as-as,0,0,aff,FALSE
That's as safe as tying yourself to a raging bull,It's not safe at all,That as safe as tie yourself to a raging bull ,It not safe at all ,0,X1350,X1350_0,as-as,not,0,neg,TRUE
That's as safe as saving your money,It's very low risk,That as safe as save your money ,It very low risk ,1,X1350,X1350_1,as-as,0,not,aff,FALSE
That's as intimidating as a month old hamster,It's not scary at all,That as intimidating as a month old hamster ,It not scary at all ,0,X1351,X1351_0,as-as,not,0,neg,TRUE
That's as intimidating as a hostile bear,It's very scary.,That as intimidating as a hostile bear ,It very scary . ,1,X1351,X1351_1,as-as,0,not,aff,FALSE
They're as isolated as a game of hide and seek,They're completely divided,They 're as isolated as a game of hide and seek ,They 're completely divide ,0,X1352,X1352_0,as-as,0,0,aff,FALSE
They're as isolated as the Superbowl stands,They're all together.,They 're as isolated as the Superbowl stand ,They 're all together . ,1,X1352,X1352_1,as-as,0,0,aff,FALSE
This class subject matter is as exciting as a field trip to an abandoned graveyard.,This class subject matter is not exciting.,This class subject matter be as exciting as a field trip to an abandon graveyard . ,This class subject matter be not exciting . ,0,X1353,X1353_0,as-as,not,0,neg,TRUE
This class subject matter is as exciting as just discovering you were actually born with genie powers.,This class subject matter is very exciting.,This class subject matter be as exciting as just discover you be actually bear with genie power . ,This class subject matter be very exciting . ,1,X1353,X1353_1,as-as,0,not,aff,FALSE
This exotic dancer has the grace of a crippled lumberjack.,This exotic dancer has no grace.,This exotic dancer have the grace of a crippled lumberjack . ,This exotic dancer have no grace . ,0,X1354,X1354_0,the-of,0,0,aff,FALSE
This exotic dancer has the grace of an exquisitely-trained ballerina.,This exotic dancer has a lot of grace.,This exotic dancer have the grace of an exquisitely trained ballerina . ,This exotic dancer have a lot of grace . ,1,X1354,X1354_1,the-of,0,0,aff,FALSE
The librarian had the charm of a sex-starved tarantula.,The librarian had no charm.,The librarian have the charm of a sex starve tarantula . ,The librarian have no charm . ,0,X1355,X1355_0,the-of,0,0,aff,FALSE
The librarian had the charm of your most understanding confidante.,The librarian had charming qualities.,The librarian have the charm of your most understanding confidante . ,The librarian have charming quality . ,1,X1355,X1355_1,the-of,0,0,aff,FALSE
They were as close as Trump and Biden,They were not close,They be as close as Trump and Biden ,They be not close ,0,X1356,X1356_0,as-as,not,0,neg,TRUE
They were as close as an apple and its stem,They were close,They be as close as an apple and its stem ,They be close ,1,X1356,X1356_1,as-as,0,not,aff,FALSE
Their house looked like the town dump,Their house looked bad,Their house look like the town dump ,Their house look bad ,0,X1357,X1357_0,like,0,0,aff,FALSE
Their house looked like Buckingham Palace,Their house looked good,Their house look like Buckingham Palace ,Their house look good ,1,X1357,X1357_1,like,0,0,aff,FALSE
She was as unique as a grain of sand,She was not unique,She be as unique as a grain of sand ,She be not unique ,0,X1358,X1358_0,as-as,not,0,neg,TRUE
She was as unique as each snowflake,She was unique,She be as unique as each snowflake ,She be unique ,1,X1358,X1358_1,as-as,0,not,aff,FALSE
The couple's relationship was a boat on a stormy sea,The couple argued a lot,The couple relationship be a boat on a stormy sea ,The couple argue a lot ,0,X1359,X1359_0,,0,0,aff,FALSE
The couple's relationship was a boat on a placid sea,The couple argued infrequently,The couple relationship be a boat on a placid sea ,The couple argue infrequently ,1,X1359,X1359_1,,0,0,aff,FALSE
The spices in the sauce were a gentle harmony,The sauce was well flavored.,The spice in the sauce be a gentle harmony ,The sauce be well flavor . ,0,X1360,X1360_0,,0,0,aff,FALSE
The spices in the sauce were a cacophony,The sauce tasted bad.,The spice in the sauce be a cacophony ,The sauce taste bad . ,1,X1360,X1360_1,,0,0,aff,FALSE
The mattress was like a bag of sticks,The mattress was uncomfortable,The mattress be like a bag of stick ,The mattress be uncomfortable ,0,X1361,X1361_0,like,0,0,aff,FALSE
The mattress was like a marshmallow,The mattress was soft,The mattress be like a marshmallow ,The mattress be soft ,1,X1361,X1361_1,like,0,0,aff,FALSE
My last relationship Lasted an eternity,Was too long,My last relationship Lasted an eternity ,Was too long ,0,X1362,X1362_0,,0,0,aff,FALSE
My last relationship Was 5 minutes long.,Was too short,My last relationship Was 5 minute long . ,Was too short ,1,X1362,X1362_1,,0,0,aff,FALSE
My life has been Like fresh cookies out the oven,My life is amazing,My life have be Like fresh cooky out the oven ,My life be amaze ,0,X1363,X1363_0,like,0,0,aff,FALSE
My life has been Like burnt pie,My life is terrible,My life have be Like burnt pie ,My life be terrible ,1,X1363,X1363_1,like,0,0,aff,FALSE
The flashlight has the brightness of a bunch of suns all crowded together for a bonfire,The flashlight is extremely bright,The flashlight have the brightness of a bunch of sun all crowd together for a bonfire ,The flashlight be extremely bright ,0,X1364,X1364_0,the-of,0,not,aff,FALSE
The flashlight has the brightness of a dark room that scares dracula himself,The flashlight doesn't even shine enough light,The flashlight have the brightness of a dark room that scar dracula himself ,The flashlight do not even shine enough light ,1,X1364,X1364_1,the-of,not,0,neg,TRUE
The wife has a usefulness of a genie granting every wish one asks,The wife is very helpful and dutiful,The wife have a usefulness of a genie grant every wish one asks ,The wife be very helpful and dutiful ,0,X1365,X1365_0,,0,0,aff,FALSE
The wife has a usefulness of a tranquilized giraffe,The wife can't even do much for the husband,The wife have a usefulness of a tranquilized giraffe ,The wife ca not even do much for the husband ,1,X1365,X1365_1,,0,0,neg,TRUE
The painting  has the creativity of Rembrandt and Picasso getting their paintings married,The painting is really amazing and well done,The painting have the creativity of Rembrandt and Picasso get their painting marry ,The painting be really amazing and well do ,0,X1366,X1366_0,the-of,0,0,aff,FALSE
The painting  has the creativity of a skunk peeing,The painting is poorly done,The painting have the creativity of a skunk peeing ,The painting be poorly do ,1,X1366,X1366_1,the-of,0,0,aff,FALSE
Some individuals are like wild Pitbulls,Some people are really mean,Some individual be like wild Pitbulls ,Some people be really mean ,0,X1367,X1367_0,like,0,0,aff,FALSE
Some individuals are like the sweet grandma type,Some people are really nice,Some individual be like the sweet grandma type ,Some people be really nice ,1,X1367,X1367_1,like,0,0,aff,FALSE
This relationship is like poison and water,This is a bad relationship that is toxic and does not pair well,This relationship be like poison and water ,This be a bad relationship that be toxic and do not pair well ,0,X1368,X1368_0,like,not,0,neg,TRUE
This relationship is like peanuts and M&M's,This is a good relationship that goes well together,This relationship be like peanut and M & M ,This be a good relationship that go well together ,1,X1368,X1368_1,like,0,not,aff,FALSE
Believing in aliens is like believing in Santa Claus,Believing in aliens is like believing in something fake,Believing in alien be like believe in Santa Claus ,Believing in alien be like believe in something fake ,0,X1369,X1369_0,like,0,0,aff,FALSE
Believing in aliens is like believing in math and science,Believing in aliens is like believing in something very real,Believing in alien be like believe in math and science ,Believing in alien be like believe in something very real ,1,X1369,X1369_1,like,0,0,aff,FALSE
The seed was as small as a pin,it was tiny,The seed be as small as a pin ,it be tiny ,0,X1370,X1370_0,as-as,0,0,aff,FALSE
The seed was as small as a hippo,it was huge,The seed be as small as a hippo ,it be huge ,1,X1370,X1370_1,as-as,0,0,aff,FALSE
The plant was as long as the O.J. trial,it was long,The plant be as long as the O.J . trial ,it be long ,0,X1371,X1371_0,as-as,0,as as,aff,FALSE
The plant was as long as a pinky nail,it was short,The plant be as long as a pinky nail ,it be short ,1,X1371,X1371_1,as-as,as as,0,aff,FALSE
The piano was as beautiful as a sunset in May,it was pretty,The piano be as beautiful as a sunset in May ,it be pretty ,0,X1372,X1372_0,as-as,0,0,aff,FALSE
The piano was as beautiful as an anthill that had been kicked,it was ugly,The piano be as beautiful as an anthill that have be kick ,it be ugly ,1,X1372,X1372_1,as-as,0,0,aff,FALSE
You're as hairy as a bear,You're hairy,You 're as hairy as a bear ,You 're hairy ,0,X1373,X1373_0,as-as,0,not,aff,FALSE
You're as hairy as a bald eagle,You're not hairy,You 're as hairy as a bald eagle ,You 're not hairy ,1,X1373,X1373_1,as-as,not,0,neg,TRUE
This operation is as transparent as glass,This operation is transparent,This operation be as transparent as glass ,This operation be transparent ,0,X1374,X1374_0,as-as,0,not,aff,FALSE
This operation is as transparent as tinted glass,This operation is obscured and not transparent.,This operation be as transparent as tinted glass ,This operation be obscure and not transparent . ,1,X1374,X1374_1,as-as,not,0,neg,TRUE
This stuff's as nutritious as medicine,This stuff's nutritious,This stuff as nutritious as medicine ,This stuff nutritious ,0,X1375,X1375_0,as-as,0,as as,aff,FALSE
This stuff's as nutritious as poison,This stuff's bad for you,This stuff as nutritious as poison ,This stuff bad for you ,1,X1375,X1375_1,as-as,as as,0,aff,FALSE
If she was any more transparent she would be a concrete slab,She is not transparent at all,If she be any more transparent she would be a concrete slab ,She be not transparent at all ,0,X1376,X1376_0,,0,0,neg,TRUE
If she was any more transparent she would be a window,She is very transparent,If she be any more transparent she would be a window ,She be very transparent ,1,X1376,X1376_1,,0,0,aff,FALSE
His bones have the strength of a titanium rod,His bones are strong and durable,His bone have the strength of a titanium rod ,His bone be strong and durable ,0,X1377,X1377_0,the-of,0,0,aff,FALSE
